paper_id,author_id,affiliation
2505604,81100289193,"Microsoft Research, Mountain View, CA, USA"
2505604,81100336551,"Microsoft Research, Mountain View, CA, USA"
2505604,81100498884,"Microsoft Research, Mountain View, CA, USA"
2505604,81342500095,"Microsoft Research, Mountain View, CA, USA"
2661995,81100289193,"Microsoft Research, Mountain View, CA, USA"
2661995,81100336551,"Microsoft Research, Mountain View, CA, USA"
2661995,81100498884,"Microsoft Research, Mountain View, CA, USA"
2661995,81342500095,"Microsoft Research, Mountain View, CA, USA"
1458462,81384597441,"Iowa State University, Ames, IA, USA"
1458462,81384610475,"Iowa State University, Ames, IA, USA"
2063681,81100289193,"Microsoft Research, Mountain View, CA, USA"
2063681,81100230801,"Microsoft Research, Mountain View, CA, USA"
2063681,81331506208,"Syracuse University, Syracuse, NY, USA"
2398762,81100289193,"Microsoft Search Labs, Mountain View, CA, USA"
2398762,81100424535,"University of Maryland, College Park, MD, USA"
2398762,81336492342,"IBM India Research Laboratory, New Delhi, India"
1458169,81309507499,"IBM, Toronto, ON, Canada"
1458169,81547067156,"IBM, Toronto, ON, Canada"
1458169,81406597954,"IBM, Toronto, ON, Canada"
1458169,81309513526,"Universitat Politècnica de Catalunya, Barcelona, Spain"
1646011,81350606233,"OFFIS -- Institute for Information Technology, Oldenburg, Germany"
1646011,81100398416,"University of Oldenburg, Oldenburg, Germany"
2663542,81350606233,"Norwegian University of Science and Technology, Trondheim, Norway, Norway"
2663542,81100568276,"EMC Corporation, Massachusetts, USA"
2663542,81548023997,"University of Lisbon, IST & INESC-ID, Lisbon, Portugal"
1183773,81100459455,"University College of Borås, Borås, Sweden"
1183773,81310483832,"Växjö University, Växjö, Sweden"
1458109,81435595206,"University of Waterloo, Waterloo, ON, Canada"
1458109,81100138515,"University of Waterloo, Waterloo, ON, Canada"
1458109,81100276884,"Duke University, Durham, NC, USA"
1458109,81100567975,"Duke University, Durham, NC, USA"
2398508,81335487631,"Google Research, Mountain View, CA, USA"
2398508,82658949957,"Yahoo! Research, Santa Clara, CA, USA"
2398508,81547973956,"Yahoo! Research, Santa Clara, CA, USA"
2398508,81100243402,"Google Research, Mountain View, CA, USA"
2398508,81447598064,"Yahoo! Research, Santa Clara, CA, USA"
1099614,81309492561,"University of Helsinki, Finland"
2063775,81375611194,"Università di Torino, Torino, Italy"
2063775,81321491135,"Yahoo! Labs, Sunnyvale, CA, USA"
2063775,81322502891,"Yahoo! Labs, Sunnyvale, CA, USA"
2063775,81100513282,"Indiana University, Bloomington, IN, USA"
1460029,81384620698,"Universidade Nova de Lisboa, Lisboa, Portugal"
1460029,81450592796,"Universidade Nova de Lisboa, Lisboa, Portugal"
1460029,81384595079,"Universidade Nova de Lisboa, Lisboa, Portugal"
1871519,81470651383,"Emory University, Atlanta, GA, USA"
1871519,81467649343,"Emory University, Atlanta, GA, USA"
1871519,81100483286,"Emory University, Atlanta, GA, USA"
1871519,81100099117,"Yahoo! Research, Santa Clara, CA, USA"
1871651,81100196818,"IBM India Research Lab, New Delhi, India"
1871651,81367598733,"Cornell University, Ithaca, NY, USA"
1871651,81323492908,"Yahoo! Labs, Bangalore, India"
1871651,81375616237,"Yahoo! Labs, Bangalore, India"
1871651,81472654267,"Yahoo! Labs, Bangalore, India"
1458496,81384612788,"Virginia Tech, Blacksburg, VA, USA"
1458496,81100426018,"Montana State University, Bozeman, MT, USA"
2063857,81442617951,"University of Sheffield, Sheffield, United Kingdom"
2063857,81100305636,"University of Sheffield, Sheffield, United Kingdom"
2505751,81502688985,"The University of Tokyo, Tokyo, Japan"
