conf_id,author_id,affiliation
1141753,81100281009,Microsoft
2756406,81100562909,"Waikato University, New Zealand"
2756406,99658721768,"Wee Kim Wee School of Communication and Information, Nanyang Technical University, Singapore"
2756406,81339504489,"University Libraries, The George Washington University, USA"
1065385,81339531152,"University of Colorado at Boulder"
1065385,81100155993,"Texas A & M University"
1998076,81486652455,"UCAR/NCAR, USA"
1998076,81448600005,"Villanova University, USA"
1378889,81100130120,"Stanford University, USA"
1378889,81100419013,"INESC-ID, Portugal"
1378889,81100585927,"Yahoo! Research Berkeley, USA"
2232817,81336491952,"Old Dominion University, USA"
2232817,81100140473,"Los Alamos National Laboratory, USA"
2232817,81100284120,"Norwegian University of Science & Technology, Norway"
1555400,81100039520,"Texas A&M; University, USA"
996350,81100399142,"Nanyang Technological University"
996350,81100563773,"Carnegie Mellon University, Pittsburgh, PA"
1816123,81100645517,"Cornell University, USA"
1816123,81100125791,"Pennsylvania State University, USA"
1816123,81547612656,"The University of Queensland, Australia"
2484028,81548042368,"University of North Carolina, Chapel Hill, USA"
2484028,81335489572,"University of Amsterdam, The Netherlands"
2484028,81100193167,"Microsoft Research Asia, China"
1277741,81100390699,"University of Waterloo, Canada"
1277741,81100362356,"University of Duisburg-Essen, Germany"
1277741,81100253509,"National Institute of Informatics, Japan"
2348283,81363594457,"Carnegie Mellon University, USA"
2348283,81508682259,"Yahoo! Research, Israel"
2348283,81100454785,"Royal Melbourne Institute of Technology, Australia"
1008992,81100546351,"University of Tampere (Finland)"
1008992,81342487699,"University of Massachusetts (USA)"
1008992,81100240638,"Distributed Systems Technology Centre (Australia)"
2009916,81100336335,"Yahoo! Research, Spain"
2009916,81100547902,"National University of Singapore"
2009916,81456619714,"University of Massachusetts, Amherst, USA"
1835449,81350589211,"National Taiwan University, TW"
1835449,81100273027,"University of Washington, USA"
1835449,81100510252,"University of Neuchatel, CH"
1148170,81100134501,"Microsoft Research, Redmond"
1148170,81100563384,"CSIRO ICT Centre, Canberra, Australia"
1148170,81100546351,"University of Tampere, Finland"
1076034,81100052406,"University of North Carolina, USA"
1076034,81100200925,"University of Melbourne, Australia"
1076034,81100507371,"University of Sunderland, UK"
2766462,81100072366,"Yahoo Labs, UK"
2766462,81100200925,"University of Melbourne, Australia"
2766462,81100628881,"Google, Brazil, and UFMG, Brazil"
860435,81363594457,"Carnegie Mellon University, Pittsburgh, PA"
860435,81100563384,"Australian National University, Australia"
860435,81100223867,"Dublin City University, Ireland"
1390334,81363602985,"Information and Communications University, Korea"
1390334,81100424535,"University of Maryland, College Park, USA"
1390334,81100172159,"Consiglio Nazionale delle Ricerche, Italy"
2600428,81100240638,"Queensland University of Technology"
2600428,81493649153,"University of Waterloo"
2600428,81100546351,"University of Tampere"
564376,81331488886,"University of Sheffield, UK"
564376,81100336335,"University of Chile, Chile"
564376,81100045917,"Chungnam National University, Korea"
1571941,81100454785,"University of Sheffield, UK"
1571941,81100540023,"University of Illinois at Urbana-Champaign, USA"
1571941,81100029320,"University of Melbourne, Australia"
511793,81100432433,"George Mason University, Fairfax, VA"
511754,81339504401,"Research Libraries Group"
511706,81100391397,"Information Systems Design"
511285,81339525237,"NASA, OART, Washington, D.C."
2632188,81319500678,"Johannes Kepler University Linz, Austria"
2632188,81335493093,"Johannes Kepler University Linz, Austria"
2632188,87059249257,"Singapore Management University, Singapore"
2464464,82158623057,-
2464464,81100593838,-
2464464,81100341388,-
2464464,81467667754,-
2464464,88058631257,-
2527031,81100497770,-
2527031,86058720757,-
2615569,81321488102,"GESIS & University of Koblenz-Landau, Germany"
2615569,81485642971,"University of Oxford, UK"
2615569,81375597766,"ISI Foundation, Italy"
2380718,81430651422,"Cornell University"
2380718,81100488409,"L3S Research Center"
2124295,81100483286,"Emory University, USA"
2124295,81100032065,"Yahoo! Research, Israel"
2556195,81100469839,"Qatar Computing Research Institute, Qatar"
2556195,81100129957,"Google, USA"
2684822,81548005694,"Google, USA"
2684822,81548005696,"Tsinghua University, China"
1718487,81100113287,"Microsoft, USA"
1718487,81414615435,"University of Illinois, Chicago, USA"
1341531,81452610079,"Yahoo!, USA"
1341531,81100424876,"IIT Bombay, India"
1935826,81100488409,"L3S and University of Hannover, Germany"
1935826,81350598903,"Microsoft Research Asia, China"
2433396,81100411624,"University of Pisa, Italy"
2433396,81100631289,"Yahoo! Research, Barcelona, Spain"
